Asset,Date,Open,High,Low,Close,AdjClose,Volume
GC,2015-08-10,1093.2,1107.6,1089.5,1104.2,1104.2,900
GC,2015-08-11,1103.8,1116.7,1094,1107.6,1107.6,997
GC,2015-08-12,1106,1124.5,1101.5,1123.2,1123.2,797
GC,2015-08-13,1124.3,1124.3,1113,1115.7,1115.7,441
GC,2015-08-14,1113.9,1118.8,1112.5,1112.9,1112.9,908
GC,2015-08-17,1113.8,1122,1113.8,1118.6,1118.6,399
GC,2015-08-18,1118.2,1118.4,1110,1117.1,1117.1,475
GC,2015-08-19,1117,1134.3,1116.8,1128.1,1128.1,348
GC,2015-08-20,1132.8,1153.3,1132.8,1153,1153,409
GC,2015-08-21,1154.1,1166.5,1150.5,1159.6,1159.6,261
GC,2015-08-24,1164,1169,1147.5,1153.4,1153.4,299
GC,2015-08-25,1151.5,1155.5,1134,1138.2,1138.2,217
GC,2015-08-26,1139.2,1143,1119.6,1124.6,1124.6,116
GC,2015-08-27,1127.2,1127.4,1118.4,1122.4,1122.4,564
GC,2015-08-28,1125.3,1139,1123.6,1133.1,1133.1,279
GC,2015-08-31,1131.1,1134,1124.8,1131.6,1131.6,194
GC,2015-09-01,1133.5,1144.7,1133.5,1138.7,1138.7,375
GC,2015-09-02,1137.3,1140.4,1130.8,1132.5,1132.5,201
GC,2015-09-03,1130.3,1132.9,1120.3,1123.7,1123.7,122
GC,2015-09-04,1123.4,1125.2,1116.2,1120.6,1120.6,51
GC,2015-09-08,1119.8,1124.3,1116.4,1120.4,1120.4,138
GC,2015-09-09,1123.5,1123.5,1102.1,1102.2,1102.2,150
GC,2015-09-10,1107.3,1113.5,1105.5,1109.5,1109.5,56
GC,2015-09-11,1110.8,1111.7,1098.2,1103.5,1103.5,81
GC,2015-09-14,1107.8,1108.6,1104.1,1107.7,1107.7,19
GC,2015-09-15,1104.5,1104.5,1102.8,1102.8,1102.8,8
GC,2015-09-16,1109.8,1119.9,1109.8,1119.2,1119.2,31
GC,2015-09-17,1118.6,1130.5,1117.1,1117.3,1117.3,14
GC,2015-09-18,1128.3,1141.2,1127.8,1138.1,1138.1,59
GC,2015-09-21,1137.6,1138.5,1130.8,1133.1,1133.1,17
GC,2015-09-22,1132.6,1135,1122.5,1125,1125,43
GC,2015-09-23,1128.6,1132.2,1128.3,1131.6,1131.6,33
GC,2015-09-24,1133,1155.9,1133,1153.8,1153.8,37
GC,2015-09-25,1149.8,1149.8,1143.4,1146,1146,56
GC,2015-09-28,1133.2,1133.2,1132,1132,1132,4346
GC,2015-09-29,1132.2,1134.4,1124.3,1127.1,1127.1,2417
GC,2015-09-30,1124.3,1126,1112.1,1115.5,1115.5,865
GC,2015-10-01,1115.2,1119,1113.3,1114.2,1114.2,1181
GC,2015-10-02,1112.2,1141.2,1105.8,1137.1,1137.1,323
GC,2015-10-05,1137.1,1141.7,1132.5,1138.1,1138.1,226
GC,2015-10-06,1136.3,1150,1136.3,1146.8,1146.8,145
GC,2015-10-07,1147.6,1152.9,1143,1149,1149,104
GC,2015-10-08,1142.7,1146.7,1138.7,1144.7,1144.7,138
GC,2015-10-09,1151.6,1157.2,1151.6,1156.3,1156.3,22
GC,2015-10-12,1155.9,1166.8,1155.9,1164.9,1164.9,40
GC,2015-10-13,1163.5,1166.2,1154.9,1165.8,1165.8,132
GC,2015-10-14,1172.4,1189,1167.3,1180.1,1180.1,143
GC,2015-10-15,1184.2,1188.3,1177.8,1187.9,1187.9,143
GC,2015-10-16,1182.5,1184.1,1176.2,1183.6,1183.6,243
GC,2015-10-19,1176.5,1177.8,1169.3,1173.3,1173.3,62
GC,2015-10-20,1168.7,1179.1,1168.7,1178,1178,19
GC,2015-10-21,1175.9,1176.4,1164.9,1167.6,1167.6,41
GC,2015-10-22,1166.2,1168.6,1163.5,1166.6,1166.6,48
GC,2015-10-23,1166.2,1178.7,1163.3,1163.3,1163.3,38
GC,2015-10-26,1165.1,1170,1163.8,1167,1167,176
GC,2015-10-27,1164.5,1166.8,1162,1166.8,1166.8,302
GC,2015-10-28,1175.1,1182.7,1175.1,1177.1,1177.1,217
GC,2015-10-29,1158,1162,1144.9,1147.2,1147.2,329
GC,2015-10-30,1147.5,1147.6,1139.2,1141.5,1141.5,249
GC,2015-11-02,1137.9,1138.7,1132.6,1135.8,1135.8,180
GC,2015-11-03,1133.3,1134.7,1114.2,1114.2,1114.2,185
GC,2015-11-04,1119,1121.9,1106.5,1106.5,1106.5,141
GC,2015-11-05,1107.9,1110.7,1104.4,1104.4,1104.4,84
GC,2015-11-06,1105.2,1109.5,1084.8,1087.6,1087.6,78
GC,2015-11-09,1088.6,1088.6,1087.9,1087.9,1087.9,5
GC,2015-11-10,1090.1,1091.3,1085,1088.2,1088.2,18
GC,2015-11-11,1091.4,1091.4,1084.2,1084.7,1084.7,15
GC,2015-11-12,1086,1086.6,1080.8,1080.8,1080.8,4
GC,2015-11-13,1083.1,1085.9,1080.8,1080.8,1080.8,23
GC,2015-11-16,1092,1092.4,1083.7,1083.7,1083.7,11
GC,2015-11-17,1075.5,1075.8,1065.1,1068.7,1068.7,6
GC,2015-11-18,1064,1071.9,1064,1068.8,1068.8,5
GC,2015-11-19,1077.4,1082.4,1077.4,1078,1078,10
GC,2015-11-20,1082.9,1082.9,1076.4,1076.4,1076.4,5
GC,2015-11-23,1070,1071.5,1066.8,1066.8,1066.8,57
GC,2015-11-24,1073.2,1079.4,1073.2,1074.3,1074.3,222
GC,2015-11-25,1070.2,1072,1068.5,1070.5,1070.5,148662
GC,2015-11-27,1070.7,1074.2,1051.1,1056.2,1056.2,52133
GC,2015-11-30,1056.5,1068.4,1052.1,1065.8,1065.8,4601
GC,2015-12-01,1064.6,1074.6,1063.4,1063.8,1063.8,3441
GC,2015-12-02,1068.7,1069.5,1049.6,1054.2,1054.2,503
GC,2015-12-03,1054.4,1064.6,1046.2,1061.7,1061.7,1161
GC,2015-12-04,1063,1088.8,1058.7,1084.5,1084.5,889
GC,2015-12-07,1084.9,1086.5,1067.4,1076.4,1076.4,656
GC,2015-12-08,1071,1078.4,1069.6,1076.3,1076.3,306
GC,2015-12-09,1075.1,1086,1070.6,1077.6,1077.6,386
GC,2015-12-10,1073,1076.3,1071.7,1073.1,1073.1,226
GC,2015-12-11,1067.8,1079.4,1064.4,1076.9,1076.9,410
GC,2015-12-14,1074,1076.7,1060,1064.7,1064.7,509
GC,2015-12-15,1064.6,1066.2,1061.8,1062.9,1062.9,220
GC,2015-12-16,1064.8,1078.7,1064.3,1078,1078,81
GC,2015-12-17,1072.6,1072.6,1050.5,1050.8,1050.8,56
GC,2015-12-18,1053.7,1070.3,1052.7,1066.2,1066.2,253
GC,2015-12-21,1070.2,1081.9,1070.2,1081.9,1081.9,26
GC,2015-12-22,1078.6,1078.6,1073.8,1074.8,1074.8,106
GC,2015-12-23,1074.5,1074.8,1069.4,1069.4,1069.4,202
GC,2015-12-24,1074.3,1077.8,1073.5,1077.2,1077.2,24
GC,2015-12-28,1077.9,1098.8,1070.5,1070.5,1070.5,361
GC,2015-12-29,1079.1,1079.7,1077.5,1077.5,1077.5,252
GC,2015-12-30,1068.6,1070.2,1059.7,1060.1,1060.1,71
GC,2015-12-31,1061.9,1062,1058.5,1060.3,1060.3,10
GC,2016-01-04,1063.4,1082.5,1063.2,1075.1,1075.1,143
GC,2016-01-05,1075.6,1081.5,1075.3,1078.4,1078.4,82
GC,2016-01-06,1081.6,1093.7,1081.6,1091.9,1091.9,52
GC,2016-01-07,1091.6,1109.4,1091.6,1107.7,1107.7,122
GC,2016-01-08,1111.1,1111.1,1093,1097.8,1097.8,98
GC,2016-01-11,1105.7,1107.9,1096.5,1096.5,1096.5,43
GC,2016-01-12,1093.8,1098.5,1084,1085.6,1085.6,87
GC,2016-01-13,1081.5,1093.9,1081.5,1087.5,1087.5,50
GC,2016-01-14,1091.5,1091.5,1073.7,1073.9,1073.9,59
GC,2016-01-15,1085,1095.8,1081.8,1091.5,1091.5,44
GC,2016-01-19,1089.8,1094.4,1084.9,1089.9,1089.9,17
GC,2016-01-20,1099.8,1109.8,1099.8,1107.1,1107.1,30
GC,2016-01-21,1103.6,1103.6,1094.1,1099.1,1099.1,16
GC,2016-01-22,1098,1103.2,1097.2,1097.2,1097.2,4
GC,2016-01-25,1099.3,1109.3,1099.3,1106.2,1106.2,8
GC,2016-01-26,1115.1,1121.7,1114.3,1121.7,1121.7,181
GC,2016-01-27,1117.8,1117.8,1115.8,1116.1,1116.1,168706
GC,2016-01-28,1125.4,1125.7,1109.8,1115.6,1115.6,52861
GC,2016-01-29,1114.4,1118.6,1108.8,1116.4,1116.4,6955
GC,2016-02-01,1116.7,1130,1115.3,1127.9,1127.9,1682
GC,2016-02-02,1128.3,1131.4,1123,1127.3,1127.3,1230
GC,2016-02-03,1128.5,1146,1125,1141.3,1141.3,1630
GC,2016-02-04,1142.5,1157.6,1141,1157.6,1157.6,771
GC,2016-02-05,1155.6,1174.8,1146,1157.8,1157.8,877
GC,2016-02-08,1173.5,1200.4,1165,1197.9,1197.9,931
GC,2016-02-09,1188.7,1199.2,1186.7,1198.7,1198.7,700
GC,2016-02-10,1189.8,1197.7,1182.1,1194.7,1194.7,671
GC,2016-02-11,1205.6,1260.8,1204.6,1247.9,1247.9,995
GC,2016-02-12,1247.8,1247.8,1233.5,1239.1,1239.1,250
GC,2016-02-16,1233.1,1233.6,1193.6,1207.9,1207.9,422
GC,2016-02-17,1196.5,1212.9,1196.5,1211.1,1211.1,53
GC,2016-02-18,1209.6,1239.2,1201.6,1226.1,1226.1,315
GC,2016-02-19,1230.8,1232.8,1221.8,1230.4,1230.4,76
GC,2016-02-22,1226.1,1226.1,1203,1209.5,1209.5,280
GC,2016-02-23,1207.4,1226.1,1207.4,1222.3,1222.3,351
GC,2016-02-24,1230,1250.1,1230,1238.7,1238.7,111
GC,2016-02-25,1239.4,1241.5,1235,1238.2,1238.2,1349
GC,2016-02-26,1232.4,1239.1,1212.2,1219.8,1219.8,656
GC,2016-02-29,1218.6,1241,1218.6,1233.9,1233.9,580
GC,2016-03-01,1240.5,1248.4,1229,1230.3,1230.3,477
GC,2016-03-02,1232.8,1242.6,1226,1241.1,1241.1,267
GC,2016-03-03,1238.4,1267.9,1238,1257.4,1257.4,123
GC,2016-03-04,1263,1279.9,1250.9,1269.9,1269.9,268
GC,2016-03-07,1259.8,1272.3,1259.7,1263.2,1263.2,67
GC,2016-03-08,1268.7,1276.3,1261,1262.1,1262.1,43
GC,2016-03-09,1254.5,1260,1244.8,1256.6,1256.6,79
GC,2016-03-10,1250,1273,1237.5,1272,1272,119
GC,2016-03-11,1270,1280.7,1249.4,1258.7,1258.7,87
GC,2016-03-14,1256,1258,1234.5,1244.4,1244.4,58
GC,2016-03-15,1228.3,1236,1228,1230.4,1230.4,37
GC,2016-03-16,1229.5,1263.8,1228.9,1229.3,1229.3,45
GC,2016-03-17,1261.5,1270.1,1255.9,1264.5,1264.5,27
GC,2016-03-18,1257.1,1264.4,1251.5,1253.8,1253.8,542
GC,2016-03-21,1256.2,1256.2,1243.4,1243.8,1243.8,1061
GC,2016-03-22,1244,1252.4,1243.8,1248.2,1248.2,20
GC,2016-03-23,1247.7,1247.7,1218.6,1223.7,1223.7,28
GC,2016-03-24,1214.2,1221.4,1214.2,1221.4,1221.4,13
GC,2016-03-28,1211.5,1222.2,1210,1219.9,1219.9,33
GC,2016-03-29,1217.8,1235.6,1217.7,1235.6,1235.6,189732
GC,2016-03-30,1241.4,1245,1223.4,1226.9,1226.9,48248
GC,2016-03-31,1225.6,1239.6,1224.5,1234.2,1234.2,3377
GC,2016-04-01,1232.3,1235.2,1209.2,1222.2,1222.2,1602
GC,2016-04-04,1221.7,1222.3,1215,1218,1218,2038
GC,2016-04-05,1215.4,1236.7,1215.4,1228.4,1228.4,477
GC,2016-04-06,1230.4,1230.4,1217.6,1222.5,1222.5,248
GC,2016-04-07,1224.8,1242.9,1224.6,1236.2,1236.2,375
GC,2016-04-08,1241,1242.8,1232,1242.5,1242.5,409
GC,2016-04-11,1241.5,1258.7,1241.5,1256.7,1256.7,437
GC,2016-04-12,1260,1261.7,1253.7,1259.4,1259.4,185
GC,2016-04-13,1256.5,1256.9,1241.3,1246.8,1246.8,203
GC,2016-04-14,1231.4,1243.7,1224.5,1225,1225,264
GC,2016-04-15,1225.7,1235,1225.7,1233.1,1233.1,97
GC,2016-04-18,1238.7,1241.1,1232.2,1233.6,1233.6,304
GC,2016-04-19,1231.6,1256.2,1228.8,1253,1253,386
GC,2016-04-20,1256.1,1256.1,1243,1253.2,1253.2,180
GC,2016-04-21,1247.7,1270.6,1247.6,1249,1249,124
GC,2016-04-22,1248.5,1248.5,1228,1228.7,1228.7,188
GC,2016-04-25,1231.6,1240.9,1231.6,1238.9,1238.9,442
GC,2016-04-26,1239.8,1244.2,1233,1242.2,1242.2,97
GC,2016-04-27,1248.6,1249.5,1248.6,1249.2,1249.2,547
GC,2016-04-28,1245.9,1270.1,1238.5,1265.5,1265.5,887
GC,2016-04-29,1267.3,1295.5,1267.2,1289.2,1289.2,464
GC,2016-05-02,1292.1,1304.4,1290.4,1294.7,1294.7,192
GC,2016-05-03,1292.7,1301.5,1284.5,1290.7,1290.7,151
GC,2016-05-04,1286.9,1290,1273,1273.3,1273.3,109
GC,2016-05-05,1282.9,1286,1270.8,1271.4,1271.4,330
GC,2016-05-06,1278.6,1295.6,1276.9,1292.9,1292.9,305
GC,2016-05-09,1286.5,1286.5,1262.3,1265.6,1265.6,341
GC,2016-05-10,1265.1,1267.4,1258.7,1263.9,1263.9,23
GC,2016-05-11,1266.9,1279.2,1266.9,1274.6,1274.6,50
GC,2016-05-12,1267,1281.2,1264,1270.3,1270.3,101
GC,2016-05-13,1271.4,1275.7,1264.6,1271.9,1271.9,66
GC,2016-05-16,1272.8,1287.8,1272.8,1273.4,1273.4,44
GC,2016-05-17,1272.5,1281.6,1270.8,1276.2,1276.2,16
GC,2016-05-18,1276.4,1276.4,1256.8,1273.7,1273.7,17
