Asset,Date,Open,High,Low,Close,AdjClose,Volume
IXIC,2015-08-10,5081.720215,5112.470215,5081.109863,5101.799805,5101.799805,1784930000
IXIC,2015-08-11,5069.160156,5089.330078,5013.450195,5036.790039,5036.790039,1912340000
IXIC,2015-08-12,4994.52002,5055.75,4945.790039,5044.390137,5044.390137,2089460000
IXIC,2015-08-13,5050.939941,5071.459961,5029.609863,5033.560059,5033.560059,1632340000
IXIC,2015-08-14,5025.919922,5051.890137,5012.609863,5048.240234,5048.240234,1487630000
IXIC,2015-08-17,5032.339844,5092.689941,5022.419922,5091.700195,5091.700195,1510790000
IXIC,2015-08-18,5082.169922,5085.140137,5054.970215,5059.350098,5059.350098,1501540000
IXIC,2015-08-19,5039.029785,5060.930176,4992.850098,5019.049805,5019.049805,1785420000
IXIC,2015-08-20,4973.490234,4986.509766,4877.490234,4877.490234,4877.490234,2087000000
IXIC,2015-08-21,4801.040039,4856.75,4706.040039,4706.040039,4706.040039,2768540000
IXIC,2015-08-24,4351.609863,4694.899902,4292.140137,4526.25,4526.25,3508840000
IXIC,2015-08-25,4687.27002,4689.540039,4506.100098,4506.490234,4506.490234,2612800000
IXIC,2015-08-26,4633.509766,4703.970215,4530.029785,4697.540039,4697.540039,2631660000
IXIC,2015-08-27,4761.049805,4818.709961,4721.790039,4812.709961,4812.709961,2368880000
IXIC,2015-08-28,4792.109863,4836.779785,4788.379883,4828.319824,4828.319824,1936540000
IXIC,2015-08-31,4798.680176,4824.609863,4763.419922,4776.509766,4776.509766,1839010000
IXIC,2015-09-01,4673.609863,4722.129883,4614.910156,4636.100098,4636.100098,2253750000
IXIC,2015-09-02,4704.419922,4749.97998,4659.410156,4749.97998,4749.97998,1929080000
IXIC,2015-09-03,4763.100098,4800.180176,4721.910156,4733.5,4733.5,1803320000
IXIC,2015-09-04,4670.350098,4712.669922,4657.819824,4683.919922,4683.919922,1574720000
IXIC,2015-09-08,4769.720215,4815.040039,4754.890137,4811.930176,4811.930176,1765600000
IXIC,2015-09-09,4856.27002,4862.879883,4746.72998,4756.529785,4756.529785,1963750000
IXIC,2015-09-10,4749.959961,4826.330078,4746.52002,4796.25,4796.25,1845770000
IXIC,2015-09-11,4770.72998,4822.339844,4763.149902,4822.339844,4822.339844,1686190000
IXIC,2015-09-14,4831.97998,4832,4791.080078,4805.759766,4805.759766,1467740000
IXIC,2015-09-15,4819.319824,4872.350098,4802.089844,4860.52002,4860.52002,1587460000
IXIC,2015-09-16,4860.430176,4893.439941,4848.149902,4889.240234,4889.240234,1666380000
IXIC,2015-09-17,4884.109863,4960.870117,4880.5,4893.950195,4893.950195,1891510000
IXIC,2015-09-18,4828.709961,4878.709961,4819.089844,4827.22998,4827.22998,3272150000
IXIC,2015-09-21,4851.97998,4881.459961,4795.910156,4828.950195,4828.950195,2021530000
IXIC,2015-09-22,4762.290039,4776.279785,4716.910156,4756.720215,4756.720215,2042880000
IXIC,2015-09-23,4764.689941,4780.640137,4735.129883,4752.740234,4752.740234,1606330000
IXIC,2015-09-24,4717.890137,4746.209961,4670.120117,4734.47998,4734.47998,1995820000
IXIC,2015-09-25,4782.410156,4785.220215,4659.47998,4686.5,4686.5,2050530000
IXIC,2015-09-28,4665.060059,4665.209961,4529.410156,4543.970215,4543.970215,2387610000
IXIC,2015-09-29,4551.040039,4596.060059,4487.060059,4517.319824,4517.319824,2293450000
IXIC,2015-09-30,4574.379883,4620.160156,4559.180176,4620.160156,4620.160156,2398350000
IXIC,2015-10-01,4624.459961,4628.22998,4559.209961,4627.080078,4627.080078,2133990000
IXIC,2015-10-02,4566.129883,4707.779785,4552.339844,4707.779785,4707.779785,2183320000
IXIC,2015-10-05,4742.129883,4785.910156,4740.240234,4781.259766,4781.259766,2005320000
IXIC,2015-10-06,4767.629883,4783.370117,4711.790039,4748.359863,4748.359863,2085020000
IXIC,2015-10-07,4775.049805,4791.149902,4728.709961,4791.149902,4791.149902,2149890000
IXIC,2015-10-08,4775.060059,4819.069824,4737.930176,4810.790039,4810.790039,1984230000
IXIC,2015-10-09,4817.279785,4841.379883,4804.589844,4830.470215,4830.470215,1804260000
IXIC,2015-10-12,4839.790039,4846.740234,4818.169922,4838.640137,4838.640137,1343820000
IXIC,2015-10-13,4809.240234,4858.279785,4793.919922,4796.609863,4796.609863,1565060000
IXIC,2015-10-14,4801.350098,4820.089844,4771.620117,4782.850098,4782.850098,1902460000
IXIC,2015-10-15,4799.430176,4870.100098,4795.290039,4870.100098,4870.100098,1942900000
IXIC,2015-10-16,4872.359863,4886.950195,4851.279785,4886.689941,4886.689941,1855290000
IXIC,2015-10-19,4873.540039,4915.490234,4865.830078,4905.470215,4905.470215,1619920000
IXIC,2015-10-20,4900.02002,4909.370117,4866.600098,4880.970215,4880.970215,1711700000
IXIC,2015-10-21,4903.97998,4904.850098,4836.459961,4840.120117,4840.120117,1895390000
IXIC,2015-10-22,4875.959961,4926.990234,4861.799805,4920.049805,4920.049805,2156040000
IXIC,2015-10-23,5024.379883,5048.549805,4999.540039,5031.859863,5031.859863,2178270000
IXIC,2015-10-26,5030.799805,5045.160156,5012.740234,5034.700195,5034.700195,1758690000
IXIC,2015-10-27,5018.990234,5040.080078,5009.069824,5030.149902,5030.149902,1986840000
IXIC,2015-10-28,5040.379883,5095.689941,5019.600098,5095.689941,5095.689941,2141130000
IXIC,2015-10-29,5071.040039,5084.629883,5066.890137,5074.27002,5074.27002,1928310000
IXIC,2015-10-30,5079.759766,5085.220215,5053.75,5053.75,5053.75,2016390000
IXIC,2015-11-02,5065.640137,5130.509766,5061.470215,5127.149902,5127.149902,1888180000
IXIC,2015-11-03,5114.310059,5163.470215,5109.680176,5145.129883,5145.129883,2028630000
IXIC,2015-11-04,5155.620117,5162.569824,5122.779785,5142.47998,5142.47998,2096110000
IXIC,2015-11-05,5144.149902,5154.859863,5098.490234,5127.740234,5127.740234,2054490000
IXIC,2015-11-06,5124.040039,5147.120117,5092.870117,5147.120117,5147.120117,2066430000
IXIC,2015-11-09,5128.939941,5133.439941,5066.100098,5095.299805,5095.299805,1850770000
IXIC,2015-11-10,5068.549805,5086.879883,5051.220215,5083.240234,5083.240234,1906120000
IXIC,2015-11-11,5098.129883,5111.189941,5066.680176,5067.02002,5067.02002,1672340000
IXIC,2015-11-12,5043.100098,5062.490234,5004.459961,5005.080078,5005.080078,1820930000
IXIC,2015-11-13,4980.859863,4989.060059,4925.350098,4927.879883,4927.879883,2001050000
IXIC,2015-11-16,4916.140137,4984.910156,4908.660156,4984.620117,4984.620117,1819190000
IXIC,2015-11-17,4991.709961,5023.450195,4975.740234,4986.02002,4986.02002,1861710000
IXIC,2015-11-18,5004.600098,5078.799805,5001.669922,5075.200195,5075.200195,2017390000
IXIC,2015-11-19,5078.669922,5092.459961,5067.27002,5073.640137,5073.640137,1794110000
IXIC,2015-11-20,5096.959961,5112.459961,5094.319824,5104.919922,5104.919922,1766630000
IXIC,2015-11-23,5106.720215,5128.080078,5084.850098,5102.47998,5102.47998,1668280000
IXIC,2015-11-24,5070.660156,5110.75,5050.140137,5102.810059,5102.810059,1956920000
IXIC,2015-11-25,5106.870117,5124.089844,5101.180176,5116.140137,5116.140137,1539300000
IXIC,2015-11-27,5121.930176,5134.350098,5108.509766,5127.52002,5127.52002,781730000
IXIC,2015-11-30,5139.580078,5141.359863,5098.700195,5108.669922,5108.669922,2244550000
IXIC,2015-12-01,5129.640137,5156.310059,5120.169922,5156.310059,5156.310059,2035570000
IXIC,2015-12-02,5158.819824,5176.77002,5117.149902,5123.220215,5123.220215,2060340000
IXIC,2015-12-03,5143.160156,5144.600098,5011.720215,5037.529785,5037.529785,2088100000
IXIC,2015-12-04,5050.930176,5147,5043.490234,5142.27002,5142.27002,1897490000
IXIC,2015-12-07,5139.459961,5139.779785,5082.22998,5101.810059,5101.810059,1952690000
IXIC,2015-12-08,5050.52002,5111.72998,5045.72998,5098.240234,5098.240234,1871450000
IXIC,2015-12-09,5077.209961,5106.370117,5000.120117,5022.870117,5022.870117,2003450000
IXIC,2015-12-10,5026.299805,5075.649902,5019.310059,5045.169922,5045.169922,1746520000
IXIC,2015-12-11,4979.77002,4996.189941,4928.669922,4933.470215,4933.470215,2084950000
IXIC,2015-12-14,4932.609863,4953.600098,4871.589844,4952.22998,4952.22998,2216060000
IXIC,2015-12-15,4991.209961,5026.540039,4986.990234,4995.359863,4995.359863,2054710000
IXIC,2015-12-16,5033.47998,5078.990234,4992.629883,5071.129883,5071.129883,2036610000
IXIC,2015-12-17,5087.169922,5088.580078,5002.549805,5002.549805,5002.549805,1897220000
IXIC,2015-12-18,4982.580078,4996.490234,4921.330078,4923.080078,4923.080078,3765210000
IXIC,2015-12-21,4957.529785,4968.919922,4928.930176,4968.919922,4968.919922,1673400000
IXIC,2015-12-22,4988.680176,5007.77002,4964.080078,5001.109863,5001.109863,1556670000
IXIC,2015-12-23,5025.549805,5046.089844,5020.439941,5045.930176,5045.930176,1591490000
IXIC,2015-12-24,5046.189941,5063.279785,5043.649902,5048.490234,5048.490234,706880000
IXIC,2015-12-28,5032.290039,5041.27002,4999.069824,5040.990234,5040.990234,1310650000
IXIC,2015-12-29,5066.52002,5116.990234,5065.890137,5107.939941,5107.939941,1383470000
IXIC,2015-12-30,5101.180176,5102.350098,5065.680176,5065.850098,5065.850098,1247530000
IXIC,2015-12-31,5047.040039,5058.060059,5007.009766,5007.410156,5007.410156,1437480000
IXIC,2016-01-04,4897.649902,4903.089844,4846.97998,4903.089844,4903.089844,2218420000
IXIC,2016-01-05,4917.839844,4926.72998,4872.740234,4891.430176,4891.430176,1927380000
IXIC,2016-01-06,4813.759766,4866.040039,4804.689941,4835.759766,4835.759766,2168620000
IXIC,2016-01-07,4736.399902,4788.02002,4688.169922,4689.430176,4689.430176,2552590000
IXIC,2016-01-08,4722.02002,4742.569824,4637.850098,4643.629883,4643.629883,2288750000
IXIC,2016-01-11,4673.439941,4683.02002,4573.779785,4637.990234,4637.990234,2391110000
IXIC,2016-01-12,4681.540039,4714.799805,4618.029785,4685.919922,4685.919922,2147470000
IXIC,2016-01-13,4706.02002,4713.97998,4517.560059,4526.060059,4526.060059,2533200000
IXIC,2016-01-14,4545.370117,4650.549805,4470.589844,4615,4615,2565560000
IXIC,2016-01-15,4464.370117,4520.450195,4419.410156,4488.419922,4488.419922,2818630000
IXIC,2016-01-19,4548.049805,4550.569824,4430.77002,4476.950195,4476.950195,2394550000
IXIC,2016-01-20,4405.220215,4514.919922,4313.390137,4471.689941,4471.689941,3204130000
IXIC,2016-01-21,4480.700195,4537.149902,4432.02002,4472.060059,4472.060059,2447750000
IXIC,2016-01-22,4557.390137,4591.180176,4540.27002,4591.180176,4591.180176,2153340000
IXIC,2016-01-25,4574.589844,4590.439941,4514.779785,4518.490234,4518.490234,2028880000
IXIC,2016-01-26,4537.040039,4583.209961,4503.529785,4567.669922,4567.669922,1981180000
IXIC,2016-01-27,4548.870117,4568.850098,4450.830078,4468.169922,4468.169922,2115710000
IXIC,2016-01-28,4533.810059,4533.810059,4447.5,4506.680176,4506.680176,2322310000
IXIC,2016-01-29,4512.089844,4613.950195,4511.299805,4613.950195,4613.950195,2617550000
IXIC,2016-02-01,4587.589844,4636.930176,4565.370117,4620.370117,4620.370117,1983340000
IXIC,2016-02-02,4588.689941,4589.899902,4503.120117,4516.950195,4516.950195,2185180000
IXIC,2016-02-03,4543.819824,4547.319824,4424.470215,4504.240234,4504.240234,2466190000
IXIC,2016-02-04,4492.47998,4545.52002,4463.990234,4509.560059,4509.560059,2200930000
IXIC,2016-02-05,4491.47998,4493.189941,4350.370117,4363.140137,4363.140137,2489280000
IXIC,2016-02-08,4288.02002,4301.529785,4212.810059,4283.75,4283.75,2702070000
IXIC,2016-02-09,4224.870117,4329.609863,4222.47998,4268.759766,4268.759766,2465790000
IXIC,2016-02-10,4318.279785,4369.620117,4280.72998,4283.589844,4283.589844,2448380000
IXIC,2016-02-11,4218.810059,4293.220215,4209.759766,4266.839844,4266.839844,2812330000
IXIC,2016-02-12,4307.290039,4340.129883,4274.149902,4337.509766,4337.509766,1983190000
IXIC,2016-02-16,4397.950195,4435.959961,4376.52002,4435.959961,4435.959961,2117920000
IXIC,2016-02-17,4471.660156,4540.779785,4463.509766,4534.060059,4534.060059,2296440000
IXIC,2016-02-18,4548.100098,4548.470215,4482.77002,4487.540039,4487.540039,1955870000
IXIC,2016-02-19,4464.669922,4513.149902,4455.100098,4504.430176,4504.430176,1903770000
IXIC,2016-02-22,4548.310059,4576.470215,4546.549805,4570.609863,4570.609863,1794020000
IXIC,2016-02-23,4550.049805,4558.060059,4500.939941,4503.580078,4503.580078,1777750000
IXIC,2016-02-24,4453.930176,4547.640137,4425.720215,4542.609863,4542.609863,1978180000
IXIC,2016-02-25,4554.72998,4582.200195,4516.890137,4582.200195,4582.200195,1667840000
IXIC,2016-02-26,4615.140137,4618.850098,4580.779785,4590.470215,4590.470215,1814920000
IXIC,2016-02-29,4585.299805,4619.899902,4557.459961,4557.950195,4557.950195,2065260000
IXIC,2016-03-01,4596.009766,4689.600098,4581.75,4689.600098,4689.600098,2080150000
IXIC,2016-03-02,4683.799805,4703.580078,4665.930176,4703.419922,4703.419922,1912510000
IXIC,2016-03-03,4698.379883,4707.720215,4674.459961,4707.419922,4707.419922,1936290000
IXIC,2016-03-04,4715.759766,4746.649902,4687.939941,4717.02002,4717.02002,2171230000
IXIC,2016-03-07,4690.879883,4731.189941,4674.819824,4708.25,4708.25,2084390000
IXIC,2016-03-08,4676.220215,4695.040039,4642.859863,4648.819824,4648.819824,1993060000
IXIC,2016-03-09,4666.419922,4676.470215,4642.419922,4674.379883,4674.379883,1789550000
IXIC,2016-03-10,4691.200195,4716.140137,4607.990234,4662.160156,4662.160156,1936470000
IXIC,2016-03-11,4712.379883,4748.790039,4700.910156,4748.470215,4748.470215,1801790000
IXIC,2016-03-14,4733.390137,4762.27002,4731.509766,4750.279785,4750.279785,1615100000
IXIC,2016-03-15,4731.140137,4735.27002,4712.069824,4728.669922,4728.669922,1692420000
IXIC,2016-03-16,4717.879883,4774.779785,4716.450195,4763.970215,4763.970215,1781060000
IXIC,2016-03-17,4752.620117,4788.089844,4737.970215,4774.990234,4774.990234,1907190000
IXIC,2016-03-18,4784.629883,4804.580078,4772.410156,4795.649902,4795.649902,2829040000
IXIC,2016-03-21,4787.310059,4814.850098,4785.379883,4808.870117,4808.870117,1609230000
IXIC,2016-03-22,4783.600098,4835.600098,4781.709961,4821.660156,4821.660156,1596200000
IXIC,2016-03-23,4813.870117,4816.669922,4765.370117,4768.859863,4768.859863,1732630000
IXIC,2016-03-24,4743.359863,4773.5,4734.77002,4773.5,4773.5,1590990000
IXIC,2016-03-28,4785.25,4787.390137,4760.009766,4766.790039,4766.790039,1381000000
IXIC,2016-03-29,4756.549805,4849.310059,4749.779785,4846.620117,4846.620117,1806490000
IXIC,2016-03-30,4875.459961,4899.140137,4859.350098,4869.290039,4869.290039,1717820000
IXIC,2016-03-31,4869.569824,4891.299805,4864.410156,4869.850098,4869.850098,1774270000
IXIC,2016-04-01,4842.549805,4917.089844,4832.060059,4914.540039,4914.540039,1812250000
IXIC,2016-04-04,4911.209961,4917.75,4885.169922,4891.799805,4891.799805,1705730000
IXIC,2016-04-05,4855.899902,4872.700195,4838.620117,4843.930176,4843.930176,1726010000
IXIC,2016-04-06,4849.580078,4921.509766,4849.279785,4920.720215,4920.720215,1761770000
IXIC,2016-04-07,4893.569824,4901.490234,4831.490234,4848.370117,4848.370117,1908940000
IXIC,2016-04-08,4883.990234,4892.600098,4835.359863,4850.689941,4850.689941,1588830000
IXIC,2016-04-11,4873.390137,4897.549805,4833.399902,4833.399902,4833.399902,1545540000
IXIC,2016-04-12,4838.819824,4879.600098,4808.910156,4872.089844,4872.089844,1759280000
IXIC,2016-04-13,4904.790039,4951.910156,4903.600098,4947.419922,4947.419922,1936450000
IXIC,2016-04-14,4947.620117,4961.299805,4931.810059,4945.890137,4945.890137,1645810000
IXIC,2016-04-15,4938.830078,4950.430176,4925.459961,4938.220215,4938.220215,1684790000
IXIC,2016-04-18,4919.359863,4960.790039,4915.629883,4960.02002,4960.02002,1672260000
IXIC,2016-04-19,4968.299805,4968.669922,4915.52002,4940.330078,4940.330078,1824250000
IXIC,2016-04-20,4941.990234,4969.319824,4928.290039,4948.129883,4948.129883,1781340000
