Asset,Date,Open,High,Low,Close,AdjClose,Volume
TNX,2015-08-10,2.21,2.24,2.2,2.24,2.24,0
TNX,2015-08-11,2.17,2.18,2.11,2.14,2.14,0
TNX,2015-08-12,2.1,2.13,2.08,2.13,2.13,0
TNX,2015-08-13,2.16,2.2,2.15,2.19,2.19,0
TNX,2015-08-14,2.18,2.22,2.17,2.2,2.2,0
TNX,2015-08-17,2.18,2.18,2.15,2.15,2.15,0
TNX,2015-08-18,2.17,2.2,2.16,2.2,2.2,0
TNX,2015-08-19,2.19,2.23,2.13,2.13,2.13,0
TNX,2015-08-20,2.1,2.12,2.08,2.08,2.08,0
TNX,2015-08-21,2.07,2.09,2.03,2.05,2.05,0
TNX,2015-08-24,1.98,2.05,1.91,2,2,0
TNX,2015-08-25,2.06,2.14,2.05,2.13,2.13,0
TNX,2015-08-26,2.13,2.18,2.1,2.17,2.17,0
TNX,2015-08-27,2.18,2.21,2.16,2.17,2.17,0
TNX,2015-08-28,2.17,2.19,2.13,2.19,2.19,0
TNX,2015-08-31,2.16,2.21,2.14,2.2,2.2,0
TNX,2015-09-01,2.17,2.2,2.15,2.17,2.17,0
TNX,2015-09-02,2.16,2.2,2.15,2.19,2.19,0
TNX,2015-09-03,2.17,2.2,2.15,2.17,2.17,0
TNX,2015-09-04,2.13,2.17,2.11,2.13,2.13,0
TNX,2015-09-08,2.16,2.2,2.16,2.19,2.19,0
TNX,2015-09-09,2.22,2.25,2.17,2.18,2.18,0
TNX,2015-09-10,2.22,2.24,2.19,2.22,2.22,0
TNX,2015-09-11,2.2,2.21,2.17,2.18,2.18,0
TNX,2015-09-14,2.17,2.2,2.16,2.18,2.18,0
TNX,2015-09-15,2.17,2.28,2.17,2.28,2.28,0
TNX,2015-09-16,2.28,2.3,2.26,2.3,2.3,0
TNX,2015-09-17,2.28,2.29,2.2,2.22,2.22,0
TNX,2015-09-18,2.16,2.17,2.13,2.13,2.13,0
TNX,2015-09-21,2.18,2.22,2.17,2.21,2.21,0
TNX,2015-09-22,2.17,2.17,2.11,2.13,2.13,0
TNX,2015-09-23,2.15,2.17,2.14,2.14,2.14,0
TNX,2015-09-24,2.11,2.13,2.08,2.12,2.12,0
