Variable,xBTCx,Data
altcoinHitsChg,0.003519675,Trends
bearHitsChg,-0.011439599,Trends
blockHitsChg,-0.004802285,Trends
BTC_diff,0.030372502,Fundamentals
BTCHitsChg,-0.02397716,Trends
bullHitsChg,-0.019499887,Trends
BuyBTCHitsChg,0.001475066,Trends
BuyEthHitsChg,-0.01267352,Trends
cryptoHitsChg,0.009102394,Trends
debtHitsChg,-0.009071116,Trends
diff1,0.019888462,Fundamentals
dipHitsChg,0.0224291,Trends
DJI_diff,0.001420723,Fundamentals
DJI_vol_diff,0.029684645,Fundamentals
EMA15x,0.067239537,Technical
EMA15x_DJI,0.014008348,Technical
EMA15x_ETH,0.096743255,Technical
EMA15x_Gold,-0.007463074,Technical
EMA15x_NAS,0.036254882,Technical
EMA15x_SP,0.019632174,Technical
EMA15x_TRE,0.033436099,Technical
EMA30x,0.053234759,Technical
EMA30x_DJI,0.015189489,Technical
EMA30x_ETH,0.094979233,Technical
EMA30x_Gold,-0.013123742,Technical
EMA30x_NAS,0.050999843,Technical
EMA30x_SP,0.025246984,Technical
EMA30x_TRE,0.038662425,Technical
EMA3x,0.052426568,Technical
EMA3x_DJI,0.004381275,Technical
EMA3x_ETH,0.032536133,Technical
EMA3x_Gold,-0.011627993,Technical
EMA3x_NAS,-0.000556448,Technical
EMA3x_SP,-0.005053986,Technical
EMA3x_TRE,0.025748368,Technical
EMA7x,0.071956936,Technical
EMA7x_DJI,0.010430587,Technical
EMA7x_ETH,0.080093611,Technical
EMA7x_Gold,-0.009957213,Technical
EMA7x_NAS,0.014507136,Technical
EMA7x_SP,0.007675312,Technical
EMA7x_TRE,0.031742695,Technical
ETH_diff,-0.011106182,Fundamentals
Eth_Mcap_diff,-0.015312869,Fundamentals
Eth_vol_diff,-0.080107731,Fundamentals
ETHHitsChg,0.004233271,Trends
Gold_diff,-0.032998928,Fundamentals
Gold_vol_diff,0.017715042,Fundamentals
HODLHitsChg,0.01683925,Trends
investHitsChg,0.043720757,Trends
macd_cor,0.059948502,Technical
macd_DJI_cor,0.017191884,Technical
macd_eth_cor,0.010298333,Technical
macd_gold_cor,0.037835265,Technical
macd_NAS_cor,0.097919142,Technical
macd_SP_cor,0.039609721,Technical
macd_tre_cor,0.047074063,Technical
Mcap_diff,0.0349016,Fundamentals
NAS_diff,0.007381797,Fundamentals
NAS_vol_diff,0.059595086,Fundamentals
poolHitsChg,0.019279725,Trends
recessionHitsChg,-0.002601871,Trends
richHitsChg,-0.009847177,Trends
ROC15,0.050504842,Technical
ROC15_DJI,0.012914711,Technical
ROC15_ETH,0.040420991,Technical
ROC15_Gold,0.020481563,Technical
ROC15_NAS,0.029416302,Technical
ROC15_SP,0.020134259,Technical
ROC15_TRE,0.027356345,Technical
ROC3,0.020876401,Technical
ROC3_DJI,-0.003153508,Technical
ROC3_ETH,0.008340481,Technical
ROC3_Gold,0.019203317,Technical
ROC3_NAS,-0.017581811,Technical
ROC3_SP,-0.013805105,Technical
ROC3_TRE,0.040465615,Technical
ROC30,-0.013878842,Technical
ROC30_DJI,0.007066475,Technical
ROC30_ETH,0.003905258,Technical
ROC30_Gold,-0.000276211,Technical
ROC30_NAS,0.041053641,Technical
ROC30_SP,0.018018068,Technical
ROC30_TRE,0.027729799,Technical
ROC7,0.039413635,Technical
ROC7_DJI,0.016616067,Technical
ROC7_ETH,0.02514034,Technical
ROC7_Gold,-0.043285293,Technical
ROC7_NAS,0.024881249,Technical
ROC7_SP,0.022700726,Technical
ROC7_TRE,0.031725075,Technical
RSI_EMA,0.072344499,Technical
RSI_EMA_DJI,0.000421266,Technical
RSI_EMA_ETH,0.032348719,Technical
RSI_EMA_Gold,-0.004583608,Technical
RSI_EMA_NAS,0.016183841,Technical
RSI_EMA_SP,0.013392152,Technical
RSI_EMA_TRE,0.023221242,Technical
RSI_SMA,0.076026059,Technical
RSI_SMA_DJI,0.003875415,Technical
RSI_SMA_ETH,0.042629043,Technical
RSI_SMA_Gold,0.021024606,Technical
RSI_SMA_NAS,0.029751286,Technical
RSI_SMA_SP,0.024653278,Technical
RSI_SMA_TRE,0.012687431,Technical
SatoshiHitsChg,-0.001292178,Trends
SMA15x,0.059526765,Technical
SMA15x_DJI,0.016961916,Technical
SMA15x_ETH,0.098184934,Technical
SMA15x_Gold,0.026445622,Technical
SMA15x_NAS,0.046038416,Technical
SMA15x_SP,0.026717884,Technical
SMA15x_TRE,0.023345564,Technical
SMA30x,-0.041698711,Technical
SMA30x_DJI,0.008267618,Technical
SMA30x_ETH,0.035120288,Technical
SMA30x_Gold,0.003935687,Technical
SMA30x_NAS,0.061079899,Technical
SMA30x_SP,0.02244513,Technical
SMA30x_TRE,0.027399406,Technical
SMA3x,0.077367876,Technical
SMA3x_DJI,0.003125822,Technical
SMA3x_ETH,0.077635777,Technical
SMA3x_Gold,0.022485809,Technical
SMA3x_NAS,-0.014369101,Technical
SMA3x_SP,-0.010347533,Technical
SMA3x_TRE,0.041451392,Technical
SMA7x,0.06388335,Technical
SMA7x_DJI,0.024430777,Technical
SMA7x_ETH,0.075764303,Technical
SMA7x_Gold,-0.041358282,Technical
SMA7x_NAS,0.041687363,Technical
SMA7x_SP,0.032687938,Technical
SMA7x_TRE,0.028933352,Technical
SP_diff,-0.004066478,Fundamentals
SP_vol_diff,0.044069433,Fundamentals
stocksHitsChg,0.022725472,Trends
TETH_Mcap_diff,0.051847029,Fundamentals
TETH_vol_diff,-0.070532419,Fundamentals
TRE_diff,0.006506185,Fundamentals
Vol_diff,-0.067454099,Fundamentals
WalletHitsChg,0.089311112,Trends
WhatBTCHitsChg,0.029115812,Trends
